"排序","移动设备市场","使用量占比",
"1","iPhone 4S","21.72%",
"2","iPhone 5","17.88%",
"3","iPhone 5s","13.27%",
"4","iPhone 4","12.39%",
"5","iPad mini(WIFI)","6.13%",
"6","iPad 4(WIFI)","5.7%",
"7","iPad 2(WIFI)","4.47%",
"8","iPad Air(WIFI)","4.07%",
"9","iPhone 4(GSM)","3.45%",
"10","iPad 3(WIFI)","2.19%",
"11","iPad mini 2G(WIFI)","2.01%",
"12","iPhone 5c","1.58%",
"13","iPad 2(GSM)","1.17%",
"14","iPad 3(Global)","0.62%",
"15","iPad","0.58%",
"16","iPad mini(Global)","0.55%",
"17","iPad 4(Global)","0.54%",
"18","iPod Touch 4","0.45%",
"19","iPod Touch 5","0.44%",
"20","iPhone 3GS","0.29%",
"21","iPad Air(Cellular)","0.23%",
"22","iPad mini 2G(Cellular)","0.2%",
"23","iPad mini(GSM)","0.02%",
"24","iPod Touch 3","0.01%",
"25","iPad 4(GSM)","0.01%",
"26","iPad 3(CDMA)","0.01%",
"27","iPad 2(CDMA)","0.01%",
"28","iPhone 3G","0%",
"29","iPod Touch 2","0%",
"30","iPod Touch","0%",
"31","iPhone","0%",

"iPhone 4S移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
"iPhone 5s移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
="2014.02.01","10.87%",
="2014.02.02","10.91%",
="2014.02.03","10.84%",
="2014.02.04","10.77%",
="2014.02.05","11.03%",
="2014.02.06","10.94%",
="2014.02.07","11.04%",
="2014.02.08","11.14%",
="2014.02.09","11.11%",
="2014.02.10","11.41%",
="2014.02.11","11.36%",
="2014.02.12","11.73%",
="2014.02.13","11.64%",
="2014.02.14","11.99%",
="2014.02.15","11.75%",
="2014.02.16","11.75%",
="2014.02.17","12.10%",
="2014.02.18","12.08%",
="2014.02.19","12.28%",
="2014.02.20","12.51%",
="2014.02.21","12.48%",
="2014.02.22","12.14%",
="2014.02.23","12.15%",
="2014.02.24","12.68%",
="2014.02.25","12.67%",
="2014.02.26","12.73%",
="2014.02.27","12.93%",
="2014.02.28","13.01%",
="2014.03.01","12.59%",
="2014.03.02","12.55%",
="2014.03.03","13.11%",
="2014.03.04","13.08%",
="2014.03.05","13.28%",
="2014.03.06","13.27%",
="2014.03.07","13.32%",
="2014.03.08","12.99%",
="2014.03.09","12.97%",
="2014.03.10","13.38%",
="2014.03.11","13.50%",
="2014.03.12","13.51%",
="2014.03.13","13.67%",
="2014.03.14","13.72%",
="2014.03.15","13.48%",
="2014.03.16","13.42%",
="2014.03.17","13.50%",
="2014.03.18","13.49%",
="2014.03.19","13.51%",
="2014.03.20","13.52%",
="2014.03.21","13.50%",
="2014.03.22","13.22%",
="2014.03.23","13.13%",
="2014.03.24","13.70%",
="2014.03.25","13.58%",
="2014.03.26","13.72%",
="2014.03.27","13.82%",
="2014.03.28","13.86%",
="2014.03.29","13.43%",
="2014.03.30","13.42%",
="2014.03.31","14.01%",
="2014.04.01","14.20%",
="2014.04.02","14.09%",
="2014.04.03","14.20%",
="2014.04.04","13.90%",
="2014.04.05","13.76%",
="2014.04.06","13.67%",
="2014.04.07","13.70%",
="2014.04.08","14.11%",
="2014.04.09","14.34%",
="2014.04.10","14.25%",
="2014.04.11","14.16%",
="2014.04.12","13.93%",
="2014.04.13","13.86%",
="2014.04.14","14.60%",
="2014.04.15","14.55%",
="2014.04.16","14.72%",
="2014.04.17","14.69%",
="2014.04.18","14.42%",
="2014.04.19","14.16%",
="2014.04.20","14.16%",
="2014.04.21","14.83%",
="2014.04.22","14.74%",
="2014.04.23","14.86%",
="2014.04.24","14.89%",
="2014.04.25","14.72%",
="2014.04.26","14.36%",
="2014.04.27","14.50%",
="2014.04.28","15.21%",
="2014.04.29","15.28%",
="2014.04.30","15.09%",

"iPhone 4移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
="2014.02.01","13.41%",
="2014.02.02","13.32%",
="2014.02.03","13.27%",
="2014.02.04","13.31%",
